family,geometry,history_overlap,seed,unique_probes,x1_counts,x2_counts,x3_counts,y1_counts,y2_counts,y3_counts
ACCESS,GLOBAL,0,9201,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
RELEASE,GLOBAL,0,9201,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
INCIDENT,GLOBAL,0,9201,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
PROVENANCE,GLOBAL,0,9201,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
ACCESS,BLOCK,0,9201,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
RELEASE,BLOCK,0,9201,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
INCIDENT,BLOCK,0,9201,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
PROVENANCE,BLOCK,0,9201,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
ACCESS,DIAGONAL,0,9201,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
RELEASE,DIAGONAL,0,9201,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
INCIDENT,DIAGONAL,0,9201,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
PROVENANCE,DIAGONAL,0,9201,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
ACCESS,GLOBAL,0,9202,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
RELEASE,GLOBAL,0,9202,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
INCIDENT,GLOBAL,0,9202,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
PROVENANCE,GLOBAL,0,9202,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
ACCESS,BLOCK,0,9202,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
RELEASE,BLOCK,0,9202,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
INCIDENT,BLOCK,0,9202,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
PROVENANCE,BLOCK,0,9202,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
ACCESS,DIAGONAL,0,9202,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
RELEASE,DIAGONAL,0,9202,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
INCIDENT,DIAGONAL,0,9202,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
PROVENANCE,DIAGONAL,0,9202,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
ACCESS,GLOBAL,0,9203,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
RELEASE,GLOBAL,0,9203,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
INCIDENT,GLOBAL,0,9203,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
PROVENANCE,GLOBAL,0,9203,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
ACCESS,BLOCK,0,9203,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
RELEASE,BLOCK,0,9203,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
INCIDENT,BLOCK,0,9203,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
PROVENANCE,BLOCK,0,9203,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
ACCESS,DIAGONAL,0,9203,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
RELEASE,DIAGONAL,0,9203,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
INCIDENT,DIAGONAL,0,9203,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
PROVENANCE,DIAGONAL,0,9203,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
ACCESS,GLOBAL,0,9204,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
RELEASE,GLOBAL,0,9204,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
INCIDENT,GLOBAL,0,9204,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
PROVENANCE,GLOBAL,0,9204,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
ACCESS,BLOCK,0,9204,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
RELEASE,BLOCK,0,9204,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
INCIDENT,BLOCK,0,9204,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
PROVENANCE,BLOCK,0,9204,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
ACCESS,DIAGONAL,0,9204,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
RELEASE,DIAGONAL,0,9204,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
INCIDENT,DIAGONAL,0,9204,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
PROVENANCE,DIAGONAL,0,9204,8,"[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4]","[4, 4]","[4, 4]"
