accuracy,agent,cell_id,checkpoint,ecology,metric,niche,seed
0.625,0,C0,0,V31_FRESH,bit1,0,98101
0.875,0,C0,0,V31_FRESH,bit2,0,98101
0.5,0,C0,0,V31_FRESH,bit3,0,98101
0.375,0,C0,0,V31_FRESH,joint,0,98101
0.375,0,C0,0,V31_FRESH,bit1,1,98101
0.75,0,C0,0,V31_FRESH,bit2,1,98101
0.375,0,C0,0,V31_FRESH,bit3,1,98101
0.125,0,C0,0,V31_FRESH,joint,1,98101
0.5,0,C0,0,V31_FRESH,bit1,2,98101
0.625,0,C0,0,V31_FRESH,bit2,2,98101
0.875,0,C0,0,V31_FRESH,bit3,2,98101
0.125,0,C0,0,V31_FRESH,joint,2,98101
0.25,0,C0,0,V31_FRESH,bit1,3,98101
0.375,0,C0,0,V31_FRESH,bit2,3,98101
0.375,0,C0,0,V31_FRESH,bit3,3,98101
0.125,0,C0,0,V31_FRESH,joint,3,98101
0.625,1,C0,0,V31_FRESH,bit1,0,98101
0.75,1,C0,0,V31_FRESH,bit2,0,98101
0.375,1,C0,0,V31_FRESH,bit3,0,98101
0.375,1,C0,0,V31_FRESH,joint,0,98101
0.5,1,C0,0,V31_FRESH,bit1,1,98101
0.875,1,C0,0,V31_FRESH,bit2,1,98101
0.25,1,C0,0,V31_FRESH,bit3,1,98101
0.125,1,C0,0,V31_FRESH,joint,1,98101
0.25,1,C0,0,V31_FRESH,bit1,2,98101
0.625,1,C0,0,V31_FRESH,bit2,2,98101
0.875,1,C0,0,V31_FRESH,bit3,2,98101
0.125,1,C0,0,V31_FRESH,joint,2,98101
0.25,1,C0,0,V31_FRESH,bit1,3,98101
0.25,1,C0,0,V31_FRESH,bit2,3,98101
0.25,1,C0,0,V31_FRESH,bit3,3,98101
0.0,1,C0,0,V31_FRESH,joint,3,98101
0.5,2,C0,0,V31_FRESH,bit1,0,98101
0.75,2,C0,0,V31_FRESH,bit2,0,98101
0.375,2,C0,0,V31_FRESH,bit3,0,98101
0.25,2,C0,0,V31_FRESH,joint,0,98101
0.375,2,C0,0,V31_FRESH,bit1,1,98101
0.75,2,C0,0,V31_FRESH,bit2,1,98101
0.25,2,C0,0,V31_FRESH,bit3,1,98101
0.125,2,C0,0,V31_FRESH,joint,1,98101
0.25,2,C0,0,V31_FRESH,bit1,2,98101
0.5,2,C0,0,V31_FRESH,bit2,2,98101
0.625,2,C0,0,V31_FRESH,bit3,2,98101
0.125,2,C0,0,V31_FRESH,joint,2,98101
